Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Author,SCEM,HelpURL,Status,ComponentLink1Description,SMD,ComponentLink2Description,Footprint Ref,Footprint Path,ComponentLink1URL,Manufacturer Part Number,Component Type,Mounted,ComponentHeight,Case,Socket,License,Part Description,Sense Comment,CreateDate,Manufacturer1 Part Number,Library Path,Pole4,Component Kind,Pin Count,Comment,Part Number,Library Name,Manufacturer1 ComponentHeight,Family,Status Comment,Library Ref,Manufacturer1 Example,ComponentLink2URL,LatestRevisionDate,Sense,Manufacturer,PackageDescription,PN,Val,Tolerance,PressFit,TC,Voltage,~,Device,Power,Bonding,Resistance,Color,Mouser Price/Stock,Mouser Part Number,Manufacturer_Name,Allied_Number,Height,RS Price/Stock,RS Part Number,Allied Price/Stock,Manufacturer_Part_Number,Field1
26,,CC1210_100UF_6.3V_20%_X5R,C2 C239 C265 C266,CC1210_100UF_6.3V_20%_X5R,CAPC3225X270N,4,\\cern.ch\dfs\Applications\Altium\Datasheets\CC1210_X5R_MURATA.pdf,CERN DEM JLC,,\\cern.ch\dfs\Applications\Altium\Datasheets\CC1210_X5R_MURATA.pdf,Preferred,,Yes,,CAPC3225X270N,PcbLib\Capacitors SMD.PcbLib,,CC1210_100UF_6.3V_20%_X5R,Standard,Yes,~~,1210,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",SMD Multilayer Chip Ceramic Capacitor,~~,04/19/10 00:00:00,GRM32ER60J107ME20L,SchLib\Capacitors.SchLib,,Standard,2.0000000000000000e+00,=Value,CC1210_100UF_6.3V_20%_X5R,Capacitors SMD,2.7mm,,~~,Capacitor - non polarized,MURATA,,04/19/10 00:00:00,No,GENERIC,~~,,100uF,±20%,~~,X5R,6.3V,100uF,,,,,,,,,,,,,,,
27,,CPER_4.7NF_400V_5%_500-250X720X650,C353 C354,CPER_4.7NF_400V_5%_500-250X720X650,CAPR500-250X720X650,2,\\cern.ch\dfs\Applications\Altium\Datasheets\CPER_TDK_B32529.pdf,CERN DEM JLC,,\\cern.ch\dfs\Applications\Altium\Datasheets\CPER_TDK_B32529.pdf,None,,No,,CAPR500-250X720X650,PcbLib\Capacitors THD.PcbLib,,B32529C6472J000,Standard,Yes,6.5mm,LS5 W2.5 x L7.2 x H6.5,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",Metallized Polyester Film Capacitor (MKT),~~,12/19/07 00:00:00,~~,SchLib\Capacitors.SchLib,,Standard,2.0000000000000000e+00,=Value,CPER_4.7NF_400V_5%_500-250X720X650,Capacitors THD,~~,,~~,Capacitor - non polarized,~~,,04/22/15 00:00:00,No,TDK,~~,,4.7nF,±5%,~~,~~,400VDC/200VAC,4.7nF,,,,,,,,,,,,,,,
28,,TYCO_2007132-1,Cage1,TYCO_2007132-1,TYCO_2007132-1,1,\\cern.ch\dfs\Applications\Altium\Datasheets\TYCO_2007132-1.pdf,CERN DEM JLC,~~,\\cern.ch\dfs\Applications\Altium\Datasheets\TYCO_2007132-1.pdf,None,~~,No,~~,TYCO_2007132-1,PcbLib\TYCO THD.PcbLib,~~,2007132-1,Standard,Yes,9.7mm,~~,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",1x4 Press Fit Cage For Use with SFP+ Connector (Small Form-factor Pluggable),~~,06/04/13 00:00:00,,SchLib\Connectors.SchLib,,Standard,46,~~,TYCO_2007132-1,TYCO THD,,SFP+,~~,SFP+ 1x4 Cage (46Pins),,~~,06/12/13 00:00:00,No,TYCO ELECTRONICS,~~,,,,Yes,,,SFP+,~~,,,,,,,,,,,,,,
29,,BAT165,D3 D14 D15 D16,BAT165,SOD2512X110N,4,\\cern.ch\dfs\Applications\Altium\Datasheets\BAT165.pdf,CERN DEM JLC,,\\cern.ch\dfs\Applications\Altium\Datasheets\BAT165.pdf,~~,~~,Yes,~~,SOD2512X110N,PcbLib\ICs And Semiconductors SMD.PcbLib,~~,BAT165,Standard,Yes,1.1mm,SOD323,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",Medium Power AF Schottky Diode,~~,11/12/14 00:00:00,,SchLib\Diodes.SchLib,,Standard,2,=Device,BAT165,ICs And Semiconductors SMD,,,~~,Diode Schottky,,~~,11/12/14 00:00:00,No,INFINEON,"Small Outline Diode Flat Lead (SOD-323), 1.70mm W X 1.25mm L X 1.10mm H body,  IPC Medium Density",,,,No,,40V,,BAT165,750mA,No,,,,,,,,,,,,
30,,BAT165,D2 D5 D9,BAT165,SOD2512X110N,3,\\cern.ch\dfs\Applications\Altium\Datasheets\BAT165.pdf,CERN DEM JLC,,\\cern.ch\dfs\Applications\Altium\Datasheets\BAT165.pdf,~~,~~,Yes,~~,SOD2512X110N,PcbLib\ICs And Semiconductors SMD.PcbLib,~~,BAT165,Standard,Yes,1.1mm,SOD323,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",Medium Power AF Schottky Diode,~~,11/12/14 00:00:00,,SchLib\Diodes.SchLib,,Standard,2,=Device,BAT165,ICs And Semiconductors SMD,,,~~,Diode Schottky,,~~,11/12/14 00:00:00,No,INFINEON,"Small Outline Diode Flat Lead (SOD-323), 1.70mm W X 1.25mm L X 1.10mm H body,  IPC Medium Density",,,,No,,40V,,BAT165,750mA,No,,,,,,,,,,,,
31,,HDMIULC6-4SC6-Diodes,D10 D11,HDMIULC6-4SC6,SOT95P280X145-6N,2,\\cern.ch\dfs\Applications\Altium\Datasheets\HDMIULC6-4SC6.pdf,CERN DEM JLC,,\\cern.ch\dfs\Applications\Altium\Datasheets\HDMIULC6-4SC6.pdf,~~,~~,Yes,~~,SOT95P280X145-6N,PcbLib\ICs And Semiconductors SMD.PcbLib,~~,HDMIULC6-4SC6,Standard,Yes,1.45mm,SOT23-6,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",Ultra Large Bandwidth HDMI ESD (15kV) Protection,~~,06/04/12 00:00:00,,SchLib\Diodes.SchLib,,Standard,6,=Device,HDMIULC6-4SC6,ICs And Semiconductors SMD,,,~~,HDMIULC6-4SC6,,~~,07/03/12 00:00:00,No,ST MICROELECTRONICS,"SOT23, 6-Leads, Body 1.6x3.0mm, Pitch 0.95mm, IPC Medium Density",,,,No,,6V,,HDMIULC6-4SC6,~~,No,,,,,,,,,,,,
32,,MB6S-Diode_Bridge,D6 D7,MB210S-TP,SOIC254P665X290-4N,2,http://www.vishay.com/docs/88573/dfs.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MB210S-TP,,,,,,,,,,,,,,,,,,,,,
33,,PRTR5V0U2X,D13,PRTR5V0U2X,SOT190P230X110-4N,1,\\cern.ch\dfs\Applications\Altium\Datasheets\PRTR5V0U2X.pdf,CERN DEM JLC,,\\cern.ch\dfs\Applications\Altium\Datasheets\PRTR5V0U2X.pdf,~~,~~,Yes,~~,SOT190P230X110-4N,PcbLib\ICs And Semiconductors SMD.PcbLib,~~,PRTR5V0U2X,Standard,Yes,1.1mm,SOT143B,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",Ultra Low Capacitance (1pF) Double Rail-to-Rail ESD Protection Diode (8kV),~~,03/22/11 00:00:00,,SchLib\Diodes.SchLib,,Standard,4,=Device,PRTR5V0U2X,ICs And Semiconductors SMD,,,~~,PRTR5V0U2X,,~~,03/22/11 00:00:00,No,NXP SEMICONDUCTORS,"SOT143B, SOT, 1.90mm Pitch; 4 Pin, 1.30mm W X 2.90mm L X 1.10mm H body, IPC Medium Density",,,,No,,5.5V,,PRTR5V0U2X,~~,No,,,,,,,,,,,,
34,,1.5KExxA-Diode,D8,SMAJ58A,DIOM5226X262N,1,https://www.vishay.com/docs/88301/15ke.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMAJ58A,,,,,,,,,,,,,,,,,,,,,
35,,SS16,D1 D4 D12,SS16,DIOM5127X229N,3,\\cern.ch\dfs\Applications\Altium\Datasheets\SS16.pdf,CERN DEM JLC,,\\cern.ch\dfs\Applications\Altium\Datasheets\SS16.pdf,~~,~~,Yes,~~,DIOM5127X229N,PcbLib\ICs And Semiconductors SMD.PcbLib,~~,SS16,Standard,Yes,2.29mm,DO-214AC,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",Surface Mount Schottky Barrier Rectifier,~~,07/15/08 00:00:00,,SchLib\Diodes.SchLib,,Standard,2,=Device,SS16,ICs And Semiconductors SMD,,,~~,Diode Schottky,,~~,08/23/10 00:00:00,No,VISHAY GENERAL SEMICONDUCTOR,"DO-214-AC Molded Diode, Body 5.1x2.7mm, IPC Medium Density",,,,No,,60V,,SS16,1A,No,,,,,,,,,,,,
36,,FUS0603_BOURNS-SF-0603F050-2,F1 F2,FUS0603_BOURNS-SF-0603F050-2,FUSC1608X55N,2,\\cern.ch\dfs\Applications\Altium\Datasheets\FUSE_BOURNS_SF-0603F.pdf,CERN DEM JLC,~~,\\cern.ch\dfs\Applications\Altium\Datasheets\FUSE_BOURNS_SF-0603F.pdf,~~,~~,Yes,~~,FUSC1608X55N,PcbLib\Fuses.PcbLib,~~,SF-0603F050-2,Standard,Yes,0.55mm,~~,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",Thin Film Chip Fuse,~~,02/01/17 00:00:00,~~,SchLib\Fuses.SchLib,,Standard,2,=Value,FUS0603_BOURNS-SF-0603F050-2,Fuses,~~,Fuse,~~,Fuse,~~,~~,02/01/17 00:00:00,No,BOURNS,"Chip Fuse, 2-Leads, Body 1.6mm x 0.8mm, IPC Medium Density",,500mA-50V,,No,,,500mA-50V,,,,,,,,,,,,,,,
37,,HIROSE_ZX62RD-AB-5P8-Miscellaneous,J10,10103594-0001LF,USB_Micro-B_Amphenol_10103594-0001LF_Horizontal,1,\\cern.ch\dfs\Applications\Altium\Datasheets\HIROSE_ZX62RD-AB-5P8.pdf,CERN DEM JLC,~~,\\cern.ch\dfs\Applications\Altium\Datasheets\HIROSE_ZX62RD-AB-5P8.pdf,Obsolete,Package-Drawing,Yes,~~,10103594-0001LF,PcbLib\Miscellaneous SMD.PcbLib,\\cern.ch\dfs\Applications\Altium\Datasheets\HIROSE_ZX62RD-AB-5P8_Package-Drawing.pdf,10103594-0001LF,Standard,Yes,2.35mm,~~,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.","Micro-USB 2.0 Right Angle, SMD Type AB - Reverse (Top mount), Shell Through Hole",~~,10/29/14 00:00:00,,SchLib\Connectors.SchLib,,Standard,7,=Family,10103594-0001LF,Miscellaneous SMD,,Micro-USB AB 2.0,~~,Connector USB 5 Pin + 1Shield,,~~,06/22/17 00:00:00,No,HIROSE (HRS),~~,,,,No,,,Micro-USB AB 2.0,~~,,,,,,,,,,,,,,
38,,TYCO_1888247-1,J6,1888247-1:TE_1888247-1,TE_1888247-1,1,\\cern.ch\dfs\Applications\Altium\Datasheets\TYCO_1888247-1.pdf,CERN DEM JLC,~~,\\cern.ch\dfs\Applications\Altium\Datasheets\TYCO_1888247-1.pdf,None,~~,Yes,~~,TYCO_1888247-1,PcbLib\TYCO SMD.PcbLib,~~,1888247-1,Standard,Yes,5.4mm,~~,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.","20 Position, Pitch 0.8mm SFP+ Receptacle (Small Form-factor Pluggable)",~~,02/27/12 00:00:00,,SchLib\Connectors.SchLib,,Standard,20,~~,TYCO_1888247-1,TYCO SMD,,SFP+,~~,SFP+x1,,~~,02/27/12 00:00:00,No,TYCO ELECTRONICS,~~,,,,No,,,SFP+,~~,,,,,,,,,,,,,,
39,,BELFUSE_0826-1X1T-HS-F,J4,BELFUSE_0826-1X1T-HS-F,BELFUSE_0826-1X1T-80-F,1,,CERN DEM JLC,~~,\\cern.ch\dfs\Applications\Altium\Datasheets\BELFUSE_0826-1X1T-80-F.pdf,None,~~,No,~~,BELFUSE_0826-1X1T-80-F,PcbLib\Miscellaneous THD.PcbLib,~~,0826-1X1T-80-F,Standard,Yes,13.61mm,~~,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.","1 Port, Orange Green/Yellow LEDs, RJ45 1000BaseT, PoE, Gigabit MagJack® Connector Module",~~,04/30/14 00:00:00,,SchLib\Connectors.SchLib,,Standard,20,=Family,BELFUSE_0826-1X1T-HS-F,Miscellaneous THD,,RJ45,~~,BELFUSE_0826-1X1T-HS-F,,~~,04/30/14 00:00:00,No,BELFUSE,~~,,,,No,,,,~~,,,,,,,,,,,,,,
40,,CLIFF_FC68148(DC-10A),J1,CLIFF_FC68148(DC-10A),CLIFF_FC68148(DC-10A),1,\\cern.ch\dfs\Applications\Altium\Datasheets\CLIFF_FC68148(DC-10A).pdf,CERN DEM JLC,~~,\\cern.ch\dfs\Applications\Altium\Datasheets\CLIFF_FC68148(DC-10A).pdf,None,~~,No,~~,CLIFF_FC68148(DC-10A),PcbLib\Miscellaneous THD.PcbLib,~~,FC68148 (DC-10A),Standard,Yes,11mm,~~,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.","12V/5A, 2.1mm Diameter Pin, DC Power Socket With  Switch (DC10A Type)",~~,11/23/10 00:00:00,,SchLib\Connectors.SchLib,Jack,Standard,3,~~,CLIFF_FC68148(DC-10A),Miscellaneous THD,,Jack,~~,CLIFF_FC68148(DC-10A),,~~,11/23/10 00:00:00,No,CLIFF ELECTRONIC COMPONENTS,~~,,,,No,,,,~~,,,,,,,,,,,,,,
41,,Conn_01x04_Male-Connector,J9,Conn_01x04_Male,SAMTEC_MTLW-104-07-L-S-250,1,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTLW-104-07-L-S-250,,,,,,,,,,,,,,,,,,,,,
42,"Generic connector, double row, 02x06, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_02x06_Odd_Even,J12 J13 J16,Conn_02x06_Odd_Even,SDL-112-X-XX_2x06,3,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,Conn_ARM_JTAG_SWD_10-Connector,J14,Conn_ARM_JTAG_SWD_10,PinHeader_2x05_P1.27mm_Vertical_SMD,1,http://infocenter.arm.com/help/topic/com.arm.doc.faqs/attached/13634/cortex_debug_connectors.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WURTH_62101021021,,,,,,,,,,,,,,,,,,,,,
44,,MOLEX_87831-1420-MOLEX,J11,MOLEX_87831-1420,MOLEX_87831-1420,1,\\cern.ch\dfs\Applications\Altium\Datasheets\MOLEX_87831-1420.pdf,CERN DEM JLC,~~,\\cern.ch\dfs\Applications\Altium\Datasheets\MOLEX_87831-1420.pdf,None,~~,No,~~,MOLEX_87831-1420,PcbLib\MOLEX THD.PcbLib,~~,87831-1420,Standard,Yes,6.4mm,~~,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.","2.00mm (.079"") Pitch Milli-Grid™ Header, Vertical, Shrouded, Center Polarization Slot, Locking Window, 14 Circuits",~~,04/13/10 00:00:00,,SchLib\Connectors.SchLib,Milli-Grid™,Standard,14,~~,MOLEX_87831-1420,MOLEX THD,,Milli-Grid™,~~,Connector 14 Male,,~~,04/13/10 00:00:00,No,MOLEX,~~,,,,No,,,,~~,,,,,,,,,,,,,,
45,,SAMTEC_MHDMR-19-02-H-TH-L-TR-SAMTEC,J15,SAMTEC_MHDMR-19-02-H-TH-L-TR,HDMI_TH,1,\\cern.ch\dfs\Applications\Altium\Datasheets\SAMTEC_MHDMR-19-02-H-TH-L-TR.pdf,CERN DEM JLC,~~,\\cern.ch\dfs\Applications\Altium\Datasheets\SAMTEC_MHDMR-19-02-H-TH-L-TR.pdf,None,~~,Yes,~~,SAMTEC_MHDMR-19-02-H-TH-L-TR,PcbLib\SAMTEC SMD.PcbLib,~~,MHDMR-19-02-H-TH-L-TR,Standard,Yes,3.2mm,~~,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.","19 Contacts, Pitch 0.4mm, Right Angle, Mini  HDMI High Speed I/O Receptacle",~~,10/19/10 00:00:00,,SchLib\Connectors.SchLib,HDMI,Standard,20,~~,SAMTEC_MHDMR-19-02-H-TH-L-TR,SAMTEC SMD,,HDMI,~~,Connector HDMI 19 Male + 1 Shield,,~~,10/19/10 00:00:00,No,SAMTEC,~~,,,,No,,,,~~,,,,,,,,,,,,,,
46,,TYCO_1888247-1,J3 J7 J8,TYCO_1888247-1,TE_1888247-1,3,\\cern.ch\dfs\Applications\Altium\Datasheets\TYCO_1888247-1.pdf,CERN DEM JLC,~~,\\cern.ch\dfs\Applications\Altium\Datasheets\TYCO_1888247-1.pdf,None,~~,Yes,~~,TYCO_1888247-1,PcbLib\TYCO SMD.PcbLib,~~,1888247-1,Standard,Yes,5.4mm,~~,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.","20 Position, Pitch 0.8mm SFP+ Receptacle (Small Form-factor Pluggable)",~~,02/27/12 00:00:00,,SchLib\Connectors.SchLib,,Standard,20,~~,TYCO_1888247-1,TYCO SMD,,SFP+,~~,SFP+x1,,~~,02/27/12 00:00:00,No,TYCO ELECTRONICS,~~,,,,No,,,SFP+,~~,,,,,,,,,,,,,,
47,,L-Device,L35 L36 L37 L38 L39 L40,1k@100MHz,INDC2012X145N,6,~,,,,,,,,,,,MPZ2012S102A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,IND0603_MURATA_BLM18PG121SN1D,L3 L4,IND0603_MURATA_BLM18PG121SN1D,INDC1608X95N,2,\\cern.ch\dfs\Applications\Altium\Datasheets\IND0603_MURATA_BLM18P.pdf,CERN DEM BC,,\\cern.ch\dfs\Applications\Altium\Datasheets\IND0603_MURATA_BLM18P.pdf,None,,Yes,,INDC1608X95N,PcbLib\Inductors SMD.PcbLib,,BLM18PG121SN1D,Standard,Yes,0.95mm,0603,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",SMD EMIFIL Chip Ferrite Bead,~~,07/27/15 00:00:00,,SchLib\Inductors & Transformers.SchLib,,Standard,2.0000000000000000e+00,=Value,IND0603_MURATA_BLM18PG121SN1D,Inductors SMD,,,~~,Inductor,,,07/27/15 00:00:00,No,MURATA,~~,,120R@100MHz,~~,,,,120R@100MHz,,2A,,0.05R,,,,,,,,,,,
49,,IND0603_MURATA_BLM18SG121TN1D,L1 L2 L5 L6 L7 L8 L9 L10 L11 L12 L15 L16 L24 L25 L26 L27 L28 L33 L34 L41 L42,IND0603_MURATA_BLM18SG121TN1D,INDC1608X65N,21,\\cern.ch\dfs\Applications\Altium\Datasheets\IND0603_MURATA_BLM18S.pdf,CERN DEM JLC,,\\cern.ch\dfs\Applications\Altium\Datasheets\IND0603_MURATA_BLM18S.pdf,None,,Yes,,INDC1608X65N,PcbLib\Inductors SMD.PcbLib,,BLM18SG121TN1D,Standard,Yes,0.65mm,0603,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",SMD EMIFIL Suppression Chip Ferrite Bead,~~,07/23/14 00:00:00,,SchLib\Inductors & Transformers.SchLib,,Standard,2.0000000000000000e+00,=Value,IND0603_MURATA_BLM18SG121TN1D,Inductors SMD,,,~~,Inductor,,,07/23/14 00:00:00,No,MURATA,~~,,120R@100MHz,±25%,,,,120R@100MHz,,3A,,0.025R,,,,,,,,,,,
50,,IND1806_MURATA_BLM41PG600SN1L,L21 L22 L31 L32,IND1806_MURATA_BLM41PG600SN1L,INDC4516X180N,4,\\cern.ch\dfs\Applications\Altium\Datasheets\IND1806_MURATA_BLM41P.pdf,CERN DEM JLC,,\\cern.ch\dfs\Applications\Altium\Datasheets\IND1806_MURATA_BLM41P.pdf,None,,Yes,,INDC4516X180N,PcbLib\Inductors SMD.PcbLib,,BLM41PG600SN1L,Standard,Yes,1.8mm,1806,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",SMD EMI Suppression Chip Ferrite Bead (BLM41P Series),~~,12/02/09 00:00:00,,SchLib\Inductors & Transformers.SchLib,,Standard,2.0000000000000000e+00,=Value,IND1806_MURATA_BLM41PG600SN1L,Inductors SMD,,,~~,Inductor,,,12/02/09 00:00:00,No,MURATA,~~,,60R@100MHz,~~,,,,60R@100MHz,,6A,,0.01R,,,,,,,,,,,
51,,IND_10UH_20%_TDK_VLCF5020-1,L13,IND_10UH_20%_TDK_VLCF5020-1,IND_TDK_VLCF5020-1,1,\\cern.ch\dfs\Applications\Altium\Datasheets\IND_TDK_VLCF.pdf,CERN DEM JLC,,\\cern.ch\dfs\Applications\Altium\Datasheets\IND_TDK_VLCF.pdf,None,,Yes,,IND_TDK_VLCF5020-1,PcbLib\Inductors SMD.PcbLib,,VLCF5020T-100M1R1-1,Standard,Yes,2mm,~~,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.","SMD Inductor for Power Circuits (Wound/STD , Magnetic Shielded), VLCF series",~~,07/10/14 00:00:00,,SchLib\Inductors & Transformers.SchLib,,Standard,2.0000000000000000e+00,=Value,IND_10UH_20%_TDK_VLCF5020-1,Inductors SMD,,,~~,Inductor With Magnetic core,,,07/10/14 00:00:00,No,TDK,~~,,10uH,±20%,,,,10uH,,1.5A,,0.198R,,,,,,,,,,,
52,,IND_2.2UH_20%_BOURNS_SRP6540,L17 L18 L19 L20,IND_2.2UH_20%_BOURNS_SRP6540,IND_BOURNS_SRP6540,4,\\cern.ch\dfs\Applications\Altium\Datasheets\IND_BOURNS_SRP6540.pdf,CERN DEM JMW,,\\cern.ch\dfs\Applications\Altium\Datasheets\IND_BOURNS_SRP6540.pdf,None,,Yes,,IND_BOURNS_SRP6540,PcbLib\Inductors SMD.PcbLib,,SRP6540-2R2M,Standard,Yes,4mm,~~,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",Shielded SMD Power Inductor,~~,08/06/15 00:00:00,,SchLib\Inductors & Transformers.SchLib,,Standard,2.0000000000000000e+00,=Value,IND_2.2UH_20%_BOURNS_SRP6540,Inductors SMD,,,~~,Inductor,,,08/06/15 00:00:00,No,BOURNS,~~,,2.2uH,±20%,,,,2.2uH,,9A,,0.0155R,,,,,,,,,,,
53,,IND_2.2UH_20%_WURTH_WE-PMCI_74479276222C,L23,IND_2.2UH_20%_WURTH_WE-PMCI_74479276222C,IND_WURTH_WE-PMCI_0806LR,1,\\cern.ch\dfs\Applications\Altium\Datasheets\IND_WURTH_WE-PMCI_74479276222C.pdf,CERN DEM JLC,,\\cern.ch\dfs\Applications\Altium\Datasheets\IND_WURTH_WE-PMCI_74479276222C.pdf,None,,Yes,,IND_WURTH_WE-PMCI_0806LR,PcbLib\Inductors SMD.PcbLib,,74479276222C,Standard,Yes,1mm,0806,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",SMD Power Molded Chip  Inductor (WE-PMCI Series),~~,10/20/16 00:00:00,,SchLib\Inductors & Transformers.SchLib,,Standard,2.0000000000000000e+00,=Value,IND_2.2UH_20%_WURTH_WE-PMCI_74479276222C,Inductors SMD,,,~~,Inductor,,,10/20/16 00:00:00,No,WURTH ELEKTRONIK,~~,,2.2uH,±20%,,,,2.2uH,,1.1A,,0.112R,,,,,,,,,,,
54,,LED_AVAGO_HSMC-C120,LD11 LD12 LD13 LD14,LED_AVAGO_HSMC-C120,LED_AVAGO_HSMC-C120,4,\\cern.ch\dfs\Applications\Altium\Datasheets\LED_AVAGO_HSMC-C120.pdf,CERN DEM JMW,,\\cern.ch\dfs\Applications\Altium\Datasheets\LED_AVAGO_HSMC-C120.pdf,~~,Design Guide,Yes,~~,LED_AVAGO_HSMC-C120,PcbLib\ICs And Semiconductors SMD.PcbLib,\\cern.ch\dfs\Applications\Altium\Datasheets\LED_AVAGO_HSMC-C120_DESIGN-GUIDE.pdf,HSMC-C120,Standard,Yes,0.7mm,~~,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",High Performance Right Angle Chip Red LED,~~,07/22/09 00:00:00,,SchLib\LEDs & Displays.SchLib,Red,Standard,2,~~,LED_AVAGO_HSMC-C120,ICs And Semiconductors SMD,,,~~,LED Red 1C 2A,,~~,06/20/12 00:00:00,No,AVAGO TECHNOLOGIES,"Red Chip LED, 2-Leads, Body 1.7x1.1mm, Side Emitting Package",,,,No,,,,~~,,No,,Red,,,,,,,,,,
